ACTIONDATE,ACTIONTYPE,CANDIDATEID,CONTACTID,CREATEDATE,JOBID,NOTEFIRST100CHARS,NOTEID,USERID,api_fromDate,api_toDate
2020-11-18 11:26:00.0,Candidate Call,1661227853872,,2020-11-18 11:27:01.0,14025364,lvm/sent jd,361925498,1359813,2020-11-18,2020-11-19
2020-11-18 11:21:00.0,Candidate Call,11803840249017,,2020-11-18 11:22:04.0,13895742,H1,361923714,1251538,2020-11-18,2020-11-19
2020-11-18 11:12:00.0,Candidate Call,3179279392025,,2020-11-18 11:12:54.0,14100662,vm and txt,361920492,1440874,2020-11-18,2020-11-19
2020-11-18 11:12:00.0,Candidate Call,522383391105,,2020-11-18 11:12:35.0,,open availability tomorrow and Friday afternoon for interviews,361920382,1403411,2020-11-18,2020-11-19
2020-11-18 11:09:00.0,Candidate Call,9399401976828,,2020-11-18 11:09:57.0,14079863,vm,361918844,1457784,2020-11-18,2020-11-19
2020-11-18 11:08:00.0,Candidate Call,6232996067816,,2020-11-18 11:08:54.0,,available any time tomorrow afternoon for interviews and any time after 2 pm on Friday,361918406,1403411,2020-11-18,2020-11-19
2020-11-18 11:07:00.0,Candidate Call,9286707092178,,2020-11-18 11:07:45.0,14079863,vm,361917223,1457784,2020-11-18,2020-11-19
2020-11-18 11:05:00.0,Candidate Call,473508870823,,2020-11-18 11:05:43.0,14076112,"Hi Jenn, 

Please consider Sunil Sodhi for the Senior Android Engineer opening with Fiserv/Bypass.",361916078,1470735,2020-11-18,2020-11-19
2020-11-18 10:48:00.0,Candidate Call,5326905928761,,2020-11-18 11:05:19.0,13548782,Targeting roles with OTE of $200k or above. Selling to enterprise customers,361915962,1419821,2020-11-18,2020-11-19
2020-11-18 11:03:00.0,Candidate Call,10125227367207,,2020-11-18 11:04:01.0,14079863,vm,361915517,1457784,2020-11-18,2020-11-19
2020-11-18 10:58:00.0,Candidate Call,11112049076247,,2020-11-18 11:03:01.0,,checking his schedule for interviews tomorrow afternoon and will get back to me,361915148,1403411,2020-11-18,2020-11-19
2020-11-18 11:01:00.0,Candidate Call,9547000875001,,2020-11-18 11:01:34.0,14079863,vm,361914558,1457784,2020-11-18,2020-11-19
2020-11-18 10:56:00.0,Candidate Call,11316974473673,,2020-11-18 10:56:56.0,14079863,h1,361913073,1457784,2020-11-18,2020-11-19
2020-11-18 10:55:00.0,Candidate Call,12073689375051,,2020-11-18 10:55:42.0,14096922,reaching out,361912286,1359813,2020-11-18,2020-11-19
2020-11-18 10:54:00.0,Candidate Call,10942052748065,,2020-11-18 10:54:28.0,14096922,sent over hackerrank test ,361910951,1359813,2020-11-18,2020-11-19
2020-11-18 10:52:00.0,Candidate Call,11316974473673,,2020-11-18 10:52:55.0,14079863,vm,361910419,1457784,2020-11-18,2020-11-19
2020-11-18 10:48:00.0,Candidate Call,8942652949135,,2020-11-18 10:52:47.0,14100662,lvm and txt ,361910381,1440874,2020-11-18,2020-11-19
2020-11-18 10:35:00.0,Candidate Call,1316307145184,,2020-11-18 10:52:13.0,14093472,"working direct hire, open to C2H
Spring, TX- okay with westchase/beltway 8  use to travel to Sugarl",361910084,1445402,2020-11-18,2020-11-19
2020-11-18 10:50:00.0,Candidate Call,10057253597975,,2020-11-18 10:50:10.0,14079863,vm,361908989,1457784,2020-11-18,2020-11-19
2020-11-18 10:48:00.0,Candidate Call,215682686571,,2020-11-18 10:48:33.0,14097982,call back 10 am,361908413,1447792,2020-11-18,2020-11-19
2020-11-18 10:48:00.0,Candidate Call,7906162142751,,2020-11-18 10:48:30.0,14079863,vm,361908404,1457784,2020-11-18,2020-11-19
2020-11-18 10:47:00.0,Candidate Call,7167022769343,,2020-11-18 10:47:17.0,14079863,c2c,361907344,1457784,2020-11-18,2020-11-19
2020-11-18 10:41:00.0,Candidate Call,9878082587631,,2020-11-18 10:41:59.0,14079863,vm,361905431,1457784,2020-11-18,2020-11-19
2020-11-18 10:39:00.0,Candidate Call,10985657981356,,2020-11-18 10:39:58.0,14079863,already applied,361904671,1457784,2020-11-18,2020-11-19
2020-11-18 10:35:00.0,Candidate Call,10532549076396,,2020-11-18 10:36:01.0,14079863,already applied,361903293,1457784,2020-11-18,2020-11-19
2020-11-18 10:32:00.0,Candidate Call,12109848134157,,2020-11-18 10:32:14.0,14079863,vm,361901983,1457784,2020-11-18,2020-11-19
2020-11-18 10:31:00.0,Candidate Call,9425527925872,,2020-11-18 10:31:37.0,14092524,LVM and followed up with an email,361901754,1457446,2020-11-18,2020-11-19
2020-11-18 10:30:00.0,Candidate Call,2375835872988,,2020-11-18 10:30:21.0,14079863,vm,361901120,1457784,2020-11-18,2020-11-19
2020-11-18 10:27:00.0,Candidate Call,5437441652628,,2020-11-18 10:27:52.0,14079863,vm,361900154,1457784,2020-11-18,2020-11-19
2020-11-18 10:24:00.0,Candidate Call,5737073629607,,2020-11-18 10:24:55.0,14079863,vm,361899235,1457784,2020-11-18,2020-11-19
2020-11-18 10:17:00.0,Candidate Call,12030507942546,,2020-11-18 10:18:07.0,14079863,vm,361896732,1457784,2020-11-18,2020-11-19
2020-11-18 10:15:00.0,Candidate Call,5523418323350,,2020-11-18 10:15:54.0,14079863,vm,361895884,1457784,2020-11-18,2020-11-19
2020-11-18 10:11:00.0,Candidate Call,6262337863307,,2020-11-18 10:12:01.0,14090985,vm,361893071,1457784,2020-11-18,2020-11-19
2020-11-18 09:42:00.0,Candidate Call,1741402,,2020-11-18 09:50:07.0,,"previous experience at EGL transition into Ceva - apart of the team that made the transition 
logis",361884487,1440874,2020-11-18,2020-11-19
2020-11-18 09:39:00.0,Candidate Call,11944895790904,,2020-11-18 09:40:07.0,14057099,# rings to c2c agency,361880299,1403411,2020-11-18,2020-11-19
2020-11-18 09:34:00.0,Candidate Call,11960648882983,,2020-11-18 09:35:11.0,,"called to prep for interview, he's all good, told him I would join initially to make sure everyone i",361878286,1251538,2020-11-18,2020-11-19
2020-11-18 09:07:00.0,Candidate Call,6898928964233,,2020-11-18 09:08:25.0,,confirmed for 2 p.m. phone interview tomorrow - need to send confirmation email with details,361870085,1403411,2020-11-18,2020-11-19
2020-11-19 22:43:00.0,Email,843291098294,,2020-11-19 22:43:34.0,14108666,interested in Fiserv BA role,362318684,1108886,2020-11-18,2020-11-19
2020-11-19 20:10:00.0,Email,220896949220,,2020-11-19 20:10:50.0,14103058,"Sent follow-up email after our call on 11/19.

Hi Syed, 

It was nice meeting you by phone today",362311720,1470052,2020-11-18,2020-11-19
2020-11-19 19:32:00.0,Email,7083800833516,,2020-11-19 19:32:59.0,14103008,"Interest in role, very polite. Reply to my email:

  [External Sender]
Hi Tallin,

Looks like y",362309971,1470052,2020-11-18,2020-11-19
2020-11-19 18:38:00.0,Email,10625142625411,,2020-11-19 18:39:58.0,14057099,emailed to let her know she is confirmed for her interview on Monday at 12:30 - will send her anothe,362305050,1403411,2020-11-18,2020-11-19
2020-11-19 18:14:00.0,Email,7043738756728,,2020-11-19 18:15:09.0,14022460,Fiserv is passing on him due to not having a Bachelor's Degree - need to let him know,362301809,1403411,2020-11-18,2020-11-19
2020-11-19 17:51:00.0,Email,12232740699484,,2020-11-19 17:51:47.0,13747222,sent resume to Nicole to send to FL for Channel Manager position,362297650,1403411,2020-11-18,2020-11-19
2020-11-19 17:44:00.0,Email,12232465588511,,2020-11-19 17:44:34.0,13747222,sent resume to Nicole to send to FL for Channel Manager position,362296222,1403411,2020-11-18,2020-11-19
2020-11-19 17:23:00.0,Email,2558703,,2020-11-19 17:23:40.0,14103058,"Confirm interest in role on 11/19.

From: Khaja Uddin <uddinkhaja@yahoo.com> 
Sent: Thursday, Nov",362291686,1470052,2020-11-18,2020-11-19
2020-11-19 16:51:00.0,Email,712440679243,,2020-11-19 16:52:36.0,14056555,Mailbox full. Sent email re Alight. ,362283861,1445360,2020-11-18,2020-11-19
2020-11-19 16:36:00.0,Email,7586861545536,,2020-11-19 16:36:59.0,14057099,sent resume to Jenn to send to Turner,362279450,1403411,2020-11-18,2020-11-19
2020-11-19 15:45:00.0,Email,3557449399159,,2020-11-19 15:45:43.0,,sent resume again to FL for Channel Manager position,362256951,1403411,2020-11-18,2020-11-19
2020-11-19 15:35:00.0,Email,7458539137316,,2020-11-19 15:35:18.0,,emailed,362252883,1440064,2020-11-18,2020-11-19
2020-11-19 15:02:00.0,Email,5945609815262,,2020-11-19 15:03:25.0,,confirmed for 11 a.m. phone interview tomorrow with Russ - sent confirmation email with details,362241007,1403411,2020-11-18,2020-11-19
2020-11-19 14:03:00.0,Email,1926257,,2020-11-19 14:03:30.0,14105430,"Not interested in working for government, dont contact him about opportunities in that space **",362208756,1359813,2020-11-18,2020-11-19
2020-11-19 13:53:00.0,Email,5116724649696,,2020-11-19 13:53:36.0,14108345,Sent email,362204016,1457446,2020-11-18,2020-11-19
2020-11-19 13:30:00.0,Email,10625142625411,,2020-11-19 13:30:39.0,14057099,called - could not leave message - sent email to see if she is free tomorrow for phone interview,362196020,1403411,2020-11-18,2020-11-19
2020-11-19 12:58:00.0,Email,3221411340140,,2020-11-19 12:59:23.0,14045313,"Hi Kraig, 

We found out from IGT they selected someone else. 

So we are happy to work with you",362184439,1095869,2020-11-18,2020-11-19
2020-11-19 12:48:00.0,Email,11994561091252,,2020-11-19 12:48:52.0,,he has open availability for interviews any day next week,362180800,1403411,2020-11-18,2020-11-19
2020-11-19 12:43:00.0,Email,11994561091252,,2020-11-19 12:43:31.0,,He is still available and interested in Fiserv position and has open availability any day/time next ,362179394,1403411,2020-11-18,2020-11-19
2020-11-19 11:29:00.0,Email,8939640232321,,2020-11-19 11:29:46.0,14102589,sent email; phone no answer/ sent text as well,362151257,1447792,2020-11-18,2020-11-19
2020-11-19 11:09:00.0,Email,4984931468535,,2020-11-19 11:09:44.0,,"Shared his resume and work sample and portfolio.

Hi Tallin, 

Thank you for reaching out to me ",362141266,1470052,2020-11-18,2020-11-19
2020-11-19 10:58:00.0,Email,3221411340140,,2020-11-19 10:58:28.0,14107036,Vberry emailed Kraig Lee asking if he is interested.,362137519,1095869,2020-11-18,2020-11-19
2020-11-19 10:57:00.0,Email,1140701185780,,2020-11-19 10:57:58.0,14107036,Vberry emailed Andrew asking if he is interested.,362137291,1095869,2020-11-18,2020-11-19
2020-11-19 10:57:00.0,Email,9438997837376,,2020-11-19 10:57:26.0,14107036,Vberry emailed Andrew asking if he is interested.,362137111,1095869,2020-11-18,2020-11-19
2020-11-19 10:56:00.0,Email,2786796291033,,2020-11-19 10:56:58.0,14107036,Vberry emailed Alina Igna asking if he is interested.,362136997,1095869,2020-11-18,2020-11-19
2020-11-19 10:34:00.0,Email,11899238213976,,2020-11-19 10:35:08.0,,speaking with at 12:30 today - possible for future FL positions,362128211,1403411,2020-11-18,2020-11-19
2020-11-19 10:28:00.0,Email,347097574175,,2020-11-19 10:29:06.0,14057099,emailed to let her know Turner is passing on her,362126179,1403411,2020-11-18,2020-11-19
2020-11-19 10:27:00.0,Email,2159606,,2020-11-19 10:27:32.0,14057099,emailed to let him know Turner is passing on him,362125713,1403411,2020-11-18,2020-11-19
2020-11-19 10:24:00.0,Email,3721106189001,,2020-11-19 10:24:55.0,14057099,emailed to let him know that Turner is passing on him due to lack of React experience,362124781,1403411,2020-11-18,2020-11-19
2020-11-19 10:20:00.0,Email,10317589073268,,2020-11-19 10:21:06.0,14057099,emailed to let her know that Turner is passing on her due to lack of React experience,362123299,1403411,2020-11-18,2020-11-19
2020-11-19 09:25:00.0,Email,12220349788870,,2020-11-19 09:26:16.0,,referral from Rajeev at Boston Data for Cap SAP BRIM project - tried scheduling Teams call with him ,362103543,1403411,2020-11-18,2020-11-19
2020-11-19 09:16:00.0,Email,11559405748807,,2020-11-19 09:17:04.0,14057099,sent resume to Jenn to send to Turner for Developer position,362099911,1403411,2020-11-18,2020-11-19
2020-11-18 20:08:00.0,Email,2558703,,2020-11-18 20:09:29.0,14103058,"Sent email regarding Sr Ecommerce QA Engineer role.

Hi Khaja,

Hope your week is going well! A ",362078638,1470052,2020-11-18,2020-11-19
2020-11-18 20:04:00.0,Email,12156992785892,,2020-11-18 20:04:50.0,14103058,left VM/ sent JD to email.,362078529,1470052,2020-11-18,2020-11-19
2020-11-18 20:01:00.0,Email,8738045855142,,2020-11-18 20:01:34.0,14029836,"Sent ID autotext email. She confirmed time on Monday, 11/23/2020 at 11am PST.

Congratulations on ",362078442,1470052,2020-11-18,2020-11-19
2020-11-18 18:52:00.0,Email,161276038766,,2020-11-18 18:53:05.0,14091104,"Long email convo back and forth.

Additionally, I also did some bare-metal USB work on XBox (it wa",362074920,1470052,2020-11-18,2020-11-19
2020-11-18 18:01:00.0,Email,522383391105,,2020-11-18 18:02:19.0,,sent confirmation email with details - need to do interview prep,362068498,1403411,2020-11-18,2020-11-19
2020-11-18 17:41:00.0,Email,11794862730971,,2020-11-18 17:42:24.0,14011210,Sent email for SR Java Developer position with Transplace,362064264,1457446,2020-11-18,2020-11-19
2020-11-18 17:39:00.0,Email,522383391105,,2020-11-18 17:40:02.0,,confirmed for 12 pm interview on Friday - sent confirmation email with details - need to do intervie,362063774,1403411,2020-11-18,2020-11-19
2020-11-18 17:35:00.0,Email,319592092677,,2020-11-18 17:36:13.0,14011210,Sent email,362062809,1457446,2020-11-18,2020-11-19
2020-11-18 16:58:00.0,Email,12227376943905,,2020-11-18 16:58:42.0,14094119,email sent,362053126,1422281,2020-11-18,2020-11-19
2020-11-18 16:31:00.0,Email,3510001657956,,2020-11-18 16:32:06.0,14099781,could not leave voice mail; email sent ,362043611,1422281,2020-11-18,2020-11-19
2020-11-18 16:09:00.0,Email,7589498724976,,2020-11-18 16:09:27.0,14092524,Sent email,362035897,1457446,2020-11-18,2020-11-19
2020-11-18 16:08:00.0,Email,12010566565557,,2020-11-18 16:09:02.0,14056555,Emailed her re Alight.,362035776,1445360,2020-11-18,2020-11-19
2020-11-18 16:03:00.0,Email,201109029772,,2020-11-18 16:03:56.0,14099781,email sent,362034280,1422281,2020-11-18,2020-11-19
2020-11-18 15:56:00.0,Email,11874533013928,,2020-11-18 15:56:44.0,14092524,Sent email,362032060,1457446,2020-11-18,2020-11-19
2020-11-18 15:01:00.0,Email,4540626782544,,2020-11-18 15:01:21.0,14036232,"Not interested in moving forward with role.

From: Alex Mharcei <alexandermharcei@hotmail.com> 
S",362007211,1470052,2020-11-18,2020-11-19
2020-11-18 14:58:00.0,Email,3709979540652,,2020-11-18 14:58:44.0,14091104,"Follow-up email after our call on 11/18.

Hi Meng,
Great chatting with you today about your backg",362006482,1470052,2020-11-18,2020-11-19
2020-11-18 14:44:00.0,Email,7805796442073,,2020-11-18 14:45:05.0,,she reached out to let me know she is looking for new Instructional Designer positions - sent her me,362001432,1403411,2020-11-18,2020-11-19
2020-11-18 14:29:00.0,Email,11436846342245,,2020-11-18 14:30:36.0,,spoke with briefly through LI - he was interested in IAM Analyst position at U of R - let him know p,361995870,1403411,2020-11-18,2020-11-19
2020-11-18 14:18:00.0,Email,12200952944791,,2020-11-18 14:18:47.0,14056555,No phone number provided. Emailed her about Alight.,361990850,1445360,2020-11-18,2020-11-19
2020-11-18 14:16:00.0,Email,1508315358730,,2020-11-18 14:17:28.0,14097982,sent email; no phone number,361990506,1447792,2020-11-18,2020-11-19
2020-11-18 14:01:00.0,Email,10625142625411,,2020-11-18 14:01:58.0,14057099,sent resume to Jenn to send to Turner for Software Developer position,361985071,1403411,2020-11-18,2020-11-19
2020-11-18 13:27:00.0,Email,3709979540652,,2020-11-18 13:28:15.0,14091104,"Interest in role as of 11/17. Reply to my email

Sure.  Sounds great.   I can give you a call if y",361973463,1470052,2020-11-18,2020-11-19
2020-11-18 13:14:00.0,Email,12162540567116,,2020-11-18 13:14:32.0,14101466,only available for PT work - not a fit for Netspend,361968453,1440691,2020-11-18,2020-11-19
2020-11-18 12:45:00.0,Email,12162540567116,,2020-11-18 12:45:35.0,14101466,no phone number - sent email,361958137,1440691,2020-11-18,2020-11-19
2020-11-18 12:28:00.0,Email,1133799612391,,2020-11-18 12:28:30.0,14080534,"Receive resume and references via email.

the  paragraph... 
Why this company should hire me?

",361951752,1470052,2020-11-18,2020-11-19
2020-11-18 10:19:00.0,Email,11906854044560,,2020-11-18 10:19:29.0,14097982,sent email,361897236,1447792,2020-11-18,2020-11-19
2020-11-18 10:16:00.0,Email,6969950321238,,2020-11-18 10:17:16.0,13758078,Emailed him re TSC.,361896414,1445360,2020-11-18,2020-11-19
2020-11-18 10:13:00.0,Email,411503936133,,2020-11-18 10:13:41.0,13758078,Emailed him to see if he would be open to TSC.,361893662,1445360,2020-11-18,2020-11-19
2020-11-18 10:09:00.0,Email,11907693397499,,2020-11-18 10:09:44.0,14022460,speaking with at 2 p.m. today,361892231,1403411,2020-11-18,2020-11-19
,Updated Contact Information,546146347858,,2020-11-19 19:23:37.0,,"Updated Contact Information:
Secondary Email: srfreeman@prodigy.net --> ",362309284,1470277,2020-11-18,2020-11-19
,Updated Contact Information,11836689789309,,2020-11-19 18:49:55.0,,"Updated Contact Information:
First Name: Steven Tsai Los --> Steven
Last Name: Angeles --> Tsai",362306032,1422281,2020-11-18,2020-11-19
,Updated Contact Information,9867079056469,,2020-11-19 18:05:46.0,,"Updated Contact Information:
Last Name: Mclanahan --> McClanahan",362300324,1422281,2020-11-18,2020-11-19
,Updated Contact Information,12227534362230,,2020-11-19 17:45:13.0,,"Updated Contact Information:
City: Toronto --> 
State: ON --> NY
Country: CA --> US",362296364,1095849,2020-11-18,2020-11-19
,Updated Contact Information,12232889796616,,2020-11-19 17:16:22.0,,"Updated Contact Information:
Primary Email: tbd167162@gmail.com --> rebeccatperry@gmail.com",362289822,1403411,2020-11-18,2020-11-19
,Updated Contact Information,2422467228261,,2020-11-19 17:05:07.0,,"Updated Contact Information:
Current Salary: 18/h --> 0/h
Preferred Salary: 19/h --> 23/h",362287288,1470277,2020-11-18,2020-11-19
,Updated Contact Information,1515036393503,,2020-11-19 16:34:21.0,,"Updated Contact Information:
Secondary Email:  --> alonzo.turner@subtextproductions.com",362275793,1450333,2020-11-18,2020-11-19
,Updated Contact Information,7314813259388,,2020-11-19 16:22:58.0,,"Updated Contact Information:
City: Phoenix --> Denton
State: AZ --> TX
Zip Code: 85032 --> 00000",362272032,1440691,2020-11-18,2020-11-19
,Updated Contact Information,12232465588511,,2020-11-19 16:17:59.0,,"Updated Contact Information:
City:  --> Chesire
State:  --> CT",362270190,1403411,2020-11-18,2020-11-19
,Updated Contact Information,12232040656109,,2020-11-19 16:16:06.0,,"Updated Contact Information:
First Name: karthik --> Karthik",362269418,1409440,2020-11-18,2020-11-19
,Updated Contact Information,12232040656109,,2020-11-19 16:15:56.0,,"Updated Contact Information:
Primary Email: Auto_12232040656109@jobdiva.com --> bkarthikap@gmail.co",362269380,1409440,2020-11-18,2020-11-19
,Updated Contact Information,11937747488036,,2020-11-19 16:06:25.0,,"Updated Contact Information:
Legal First Name:  --> Matiny
Legal Middle Name:  --> Fred
Legal Las",362265815,1440691,2020-11-18,2020-11-19
,Updated Contact Information,9226398927901,,2020-11-19 16:05:24.0,,"Updated Contact Information:
City: Northbrook --> Chicago
Zip Code: 00000 --> 60659",362265172,1450333,2020-11-18,2020-11-19
,Updated Contact Information,12232670472363,,2020-11-19 16:00:15.0,,"Updated Contact Information:
City: London --> ",362263290,1443218,2020-11-18,2020-11-19
,Updated Contact Information,12232670472363,,2020-11-19 16:00:03.0,,"Updated Contact Information:
State: UK --> 
Primary Email: Auto_12232670472363@jobdiva.com --> raj",362263204,1443218,2020-11-18,2020-11-19
,Updated Contact Information,7007748010700,,2020-11-19 15:56:30.0,,"Updated Contact Information:
Address: 86 Canal Street, Iselin, NJ 08830  --> 86 Canal Street ",362261997,1459897,2020-11-18,2020-11-19
,Updated Contact Information,12232465588511,,2020-11-19 15:54:49.0,,"Updated Contact Information:
City:  --> Chesire
State:  --> CT",362260669,1403411,2020-11-18,2020-11-19
,Updated Contact Information,12232465588511,,2020-11-19 15:54:36.0,,"Updated Contact Information:
City:  --> Chesire
State:  --> CT",362260619,1403411,2020-11-18,2020-11-19
,Updated Contact Information,12232465588511,,2020-11-19 15:54:00.0,,"Updated Contact Information:
City:  --> Chesire
State:  --> CT",362260424,1403411,2020-11-18,2020-11-19
,Updated Contact Information,7381920031116,,2020-11-19 15:27:55.0,,"Updated Contact Information:
Last Name: D. --> Dhundra",362249411,1470052,2020-11-18,2020-11-19
,Updated Contact Information,2140815,,2020-11-19 15:24:28.0,,"Updated Contact Information:
First Name: Cindy --> Dianne
Last Name: Y --> Zhang",362248107,1380008,2020-11-18,2020-11-19
,Updated Contact Information,2140815,,2020-11-19 15:24:19.0,,"Updated Contact Information:
First Name: Cindy --> Dianne
Last Name: Y --> Zhang",362248062,1380008,2020-11-18,2020-11-19
,Updated Contact Information,12231343852527,,2020-11-19 15:24:08.0,,"Updated Contact Information:
City:  --> Lyons
State:  --> PA
Primary Email: Auto_12231343852527@j",362248002,1470052,2020-11-18,2020-11-19
,Updated Contact Information,8706104965024,,2020-11-19 15:05:24.0,,"Updated Contact Information:
Home Phone: 3102066330 --> Cell Phone: 3109755328
Cell Phone: 3109755",362241528,1461862,2020-11-18,2020-11-19
,Updated Contact Information,11317965296715,,2020-11-19 15:01:04.0,,"Updated Contact Information:
Address: 304 Portico Aisle, Irvine, CA, 92606  --> 304 Portico Aisle ",362240319,1459897,2020-11-18,2020-11-19
,Updated Contact Information,3846462487658,,2020-11-19 14:37:46.0,,"Updated Contact Information:
First Name: Gracie Lopez --> Gracie
Address: La Mesa, CA, 91942 US GR",362232361,1459897,2020-11-18,2020-11-19
,Updated Contact Information,3846462487658,,2020-11-19 14:36:50.0,,"Updated Contact Information:
Home Phone:  --> Cell Phone: 6192190192
Cell Phone: 6192190192 --> Ce",362232072,1459897,2020-11-18,2020-11-19
,Updated Contact Information,11527193439556,,2020-11-19 14:36:14.0,,"Updated Contact Information:
City: North Aurora --> Elgin
Zip Code: 60542 --> 60124",362231872,1450333,2020-11-18,2020-11-19
,Updated Contact Information,12232040656109,,2020-11-19 14:16:42.0,,"Updated Contact Information:
First Name: B --> Karthik
Last Name: Karthik --> Bollam",362218727,1409440,2020-11-18,2020-11-19
,Updated Contact Information,11190333479699,,2020-11-19 14:13:11.0,,"Updated Contact Information:
Address: 8323 N Shannon Road, Unit 15203  --> 25072 Soto Road 
City: ",362216312,1470052,2020-11-18,2020-11-19
,Updated Contact Information,11294754656743,,2020-11-19 14:06:04.0,,"Updated Contact Information:
Current Salary: 0/h --> 50/h",362210447,1422281,2020-11-18,2020-11-19
,Updated Contact Information,5809683196038,,2020-11-19 13:35:39.0,,"Updated Contact Information:
First Name: Node --> Rory
Last Name: Js --> Hutchings",362197628,1460631,2020-11-18,2020-11-19
,Updated Contact Information,9438997837376,,2020-11-19 13:20:43.0,,"Updated Contact Information:
Primary Email: djtorch07@gmail.com --> JamesDillard2@aol.com
Secondar",362192474,1095869,2020-11-18,2020-11-19
,Updated Contact Information,161276038766,,2020-11-19 12:47:21.0,,"Updated Contact Information:
Primary Email: rswolin@netscape.net --> rswolin@comcast.net
Secondary",362180404,1470052,2020-11-18,2020-11-19
,Updated Contact Information,10896332216923,,2020-11-19 12:36:02.0,,"Updated Contact Information:
Primary Email: farhanahe75@gmail.com --> hussianfarhana@gmail.com",362177387,1445402,2020-11-18,2020-11-19
,Updated Contact Information,1140701185780,,2020-11-19 12:15:52.0,,"Updated Contact Information:
Home Phone:  --> Home Phone: 4433847856
Cell Phone: 4433847856 --> Ce",362169840,1095869,2020-11-18,2020-11-19
,Updated Contact Information,6303209468892,,2020-11-19 11:44:53.0,,"Updated Contact Information:
Address:  4557 S Mullen Avenue --> 4557 S Mullen Avenue ",362156413,1096112,2020-11-18,2020-11-19
,Updated Contact Information,12231423435134,,2020-11-19 11:24:47.0,,"Updated Contact Information:
Cell Phone: 7036069219 --> Cell Phone: 5717527223",362148298,1108886,2020-11-18,2020-11-19
,Updated Contact Information,10896332216923,,2020-11-19 11:06:33.0,,"Updated Contact Information:
Cell Phone: 9037515756 --> Cell Phone: 4053693565",362140163,1445402,2020-11-18,2020-11-19
,Updated Contact Information,3221411340140,,2020-11-19 10:46:06.0,,"Updated Contact Information:
Primary Email: kraigl@hotmail.com --> kraiglee99@gmail.com
Secondary ",362133213,1095869,2020-11-18,2020-11-19
,Updated Contact Information,161276038766,,2020-11-18 19:50:19.0,,"Updated Contact Information:
Current Salary: 70/h --> 0/h
Preferred Salary: 125000/y --> 90/h",362077955,1470052,2020-11-18,2020-11-19
,Updated Contact Information,161276038766,,2020-11-18 19:06:16.0,,"Updated Contact Information:
Cell Phone:  --> Cell Phone: 4066263393",362075925,1470052,2020-11-18,2020-11-19
,Updated Contact Information,12159874099885,,2020-11-18 18:26:21.0,,"Updated Contact Information:
City:  --> Edison",362072295,1422281,2020-11-18,2020-11-19
,Updated Contact Information,12159874099885,,2020-11-18 18:26:01.0,,"Updated Contact Information:
State:  --> NJ",362072253,1422281,2020-11-18,2020-11-19
,Updated Contact Information,11331912945666,,2020-11-18 18:05:55.0,,"Updated Contact Information:
First Name: Justin --> Antone
Last Name: Mills --> Tabb",362069071,1457446,2020-11-18,2020-11-19
,Updated Contact Information,12223098779917,,2020-11-18 17:49:55.0,,"Updated Contact Information:
City:  --> Acton
State:  --> MA",362065864,1470052,2020-11-18,2020-11-19
,Updated Contact Information,12219534876522,,2020-11-18 17:39:42.0,,"Updated Contact Information:
Primary Email: noemail22@linkedin.com --> ron_horowitz@yahoo.com",362063644,1470052,2020-11-18,2020-11-19
,Updated Contact Information,11846039078425,,2020-11-18 17:16:34.0,,"Updated Contact Information:
Home Phone:  --> Home Phone: 7133015965",362057824,1424008,2020-11-18,2020-11-19
,Updated Contact Information,4728467245803,,2020-11-18 17:13:20.0,,"Updated Contact Information:
City: Los Angeles --> Austin
State: CA --> TX
Zip Code: 90048 --> ",362056928,1422281,2020-11-18,2020-11-19
,Updated Contact Information,12227376943905,,2020-11-18 16:58:51.0,,"Updated Contact Information:
Primary Email: on.blandford@hotmail.com --> jason.blandford@hotmail.co",362053171,1422281,2020-11-18,2020-11-19
,Updated Contact Information,12227376943905,,2020-11-18 16:58:28.0,,"Updated Contact Information:
First Name: Unknown --> Jason
Last Name: Unknown --> Blandford
City:",362053043,1422281,2020-11-18,2020-11-19
,Updated Contact Information,10878313123633,,2020-11-18 16:45:41.0,,"Updated Contact Information:
Cell Phone: 9492728734 --> Cell Phone: ",362049163,1169137,2020-11-18,2020-11-19
,Updated Contact Information,11335573613708,,2020-11-18 16:35:08.0,,"Updated Contact Information:
Last Name: Sdet --> Kumar",362045196,1108886,2020-11-18,2020-11-19
,Updated Contact Information,808421127258,,2020-11-18 16:09:50.0,,"Updated Contact Information:
City: Hartford --> Houston
State: CT --> TX
Current Salary: 0/h --> ",362036081,1443218,2020-11-18,2020-11-19
,Updated Contact Information,12204873219119,,2020-11-18 15:57:48.0,,"Updated Contact Information:
Current Salary: 0/h --> 55/h
Preferred Salary: 0/h --> 70/h",362032377,1470052,2020-11-18,2020-11-19
,Updated Contact Information,12196909760962,,2020-11-18 15:52:23.0,,"Updated Contact Information:
First Name: Aws --> Tuan
Last Name: Ebs --> Duong
Current Salary: 0/",362030632,1460631,2020-11-18,2020-11-19
,Updated Contact Information,12161949871609,,2020-11-18 15:52:23.0,,"Updated Contact Information:
First Name: Ga --> Sandeep
Last Name: Elavon, Atlanta --> D",362030631,1445360,2020-11-18,2020-11-19
,Updated Contact Information,10587090191348,,2020-11-18 15:41:55.0,,"Updated Contact Information:
First Name: Daily --> Norma
Last Name: Basis --> Donovan",362027079,1359813,2020-11-18,2020-11-19
